ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_all,all,,,1
2_ash,ash,,,2
3_bark,bark,,,3
4_belly,belly,,,4
5_big,big,,,5
6_bird,bird,,,6
7_bite,bite,,,7
8_black,black,,,8
9_blood,blood,,,9
10_bone,bone,,,10
11_breasts,breasts,,,11
12_burn,burn,,,12
13_claw,claw,,,13
14_cloud,cloud,,,14
15_cold,cold,,,15
16_come,come,,,16
17_die,die,,,17
18_dog,dog,,,18
19_drink,drink,,,19
20_dry,dry,,,20
21_ear,ear,,,21
22_earth,earth,,,22
23_eat,eat,,,23
24_egg,egg,,,24
25_eye,eye,,,25
26_feather,feather,,,26
27_fire,fire,,,27
28_fish,fish,,,28
29_flesh,flesh,,,29
30_fly,fly,,,30
31_foot,foot,,,31
32_full,full,,,32
33_give,give,,,33
34_good,good,,,34
35_grease,grease,,,35
36_green,green,,,36
37_hair,hair,,,37
38_hand,hand,,,38
39_head,head,,,39
40_hear,hear,,,40
41_heart,heart,,,41
42_horn,horn,,,42
43_hot,hot,,,43
44_i,i,,,44
45_kill,kill,,,45
46_knee,knee,,,46
47_know,know,,,47
48_leaf,leaf,,,48
49_lie,lie,,,49
50_liver,liver,,,50
51_long,long,,,51
52_louse,louse,,,52
53_man,man,,,53
54_many,many,,,54
55_moon,moon,,,55
56_mountain,mountain,,,56
57_mouth,mouth,,,57
58_name,name,,,58
59_neck,neck,,,59
60_new,new,,,60
61_night,night,,,61
62_nose,nose,,,62
63_not,not,,,63
64_one,one,,,64
65_path,path,,,65
66_person,person,,,66
67_rain,rain,,,67
68_red,red,,,68
69_root,root,,,69
70_round,round,,,70
71_sand,sand,,,71
72_say,say,,,72
73_see,see,,,73
74_seed,seed,,,74
75_sit,sit,,,75
76_skin,skin,,,76
77_sleep,sleep,,,77
78_small,small,,,78
79_smoke,smoke,,,79
80_stand,stand,,,80
81_star,star,,,81
82_stone,stone,,,82
83_sun,sun,,,83
84_swim,swim,,,84
85_tail,tail,,,85
86_that,that,,,86
87_this,this,,,87
88_tongue,tongue,,,88
89_tooth,tooth,,,89
90_tree,tree,,,90
91_two,two,,,91
92_walk,walk,,,92
93_water,water,,,93
94_we,we,,,94
95_what,what,,,95
96_white,white,,,96
97_who,who,,,97
98_woman,woman,,,98
99_yellow,yellow,,,99
100_you,you,,,100
